,0,1,2,3
344,North China Horticulture Inc,12-May-2011,31-Dec-2010,IDCX.PK^D14
345,Brainy Brands Company Inc,15-Apr-2011,31-Dec-2010,TBBC.PK^D16
346,China Fruits Corp,15-Apr-2011,31-Dec-2010,CHFR.PK^D19
347,Sino Agro Food Inc,15-Apr-2011,31-Dec-2010,SIAF.PK
348,China Du Kang Co Ltd,15-Apr-2011,31-Dec-2010,CDKG.PK^D19
349,GSP-2 Inc,31-Mar-2011,31-Dec-2010,GSPO.PK^I15
350,Steele Resources Corp,31-Mar-2011,31-Dec-2010,—
351,GSP-2 Inc,31-Mar-2011,31-Dec-2010,GSPO.PK^I15
352,Steele Resources Corp,31-Mar-2011,31-Dec-2010,—
353,Parabel Inc,31-Mar-2011,31-Dec-2010,PABL.PK^J17
354,Fuer International Inc,31-Mar-2011,31-Dec-2010,FRXT.PK^G13
355,Yuhe International Inc,31-Mar-2011,31-Dec-2010,YUII.PK
356,Westway Group Inc,31-Mar-2011,31-Dec-2010,SACQ.PK^F07
357,American Patriot Brands Inc,31-Mar-2011,31-Dec-2010,GRLD.PK^J19
358,Tanke Biosciences Corp,31-Mar-2011,31-Dec-2010,TNBI.PK
359,CannaSys Inc,30-Mar-2011,31-Dec-2010,MJTK.PK^D21
360,Food Technology Service Inc,30-Mar-2011,31-Dec-2010,VIFL.OQ^C14
361,Nutrastar International Inc,29-Mar-2011,31-Dec-2010,NUIN.PK^K18
362,Yasheng Group,29-Mar-2011,31-Dec-2010,HERB.PK
363,BIQI International Holdings Corp,17-Mar-2011,31-Dec-2010,BIQIF.PK
364,AgFeed Industries Inc,16-Mar-2011,31-Dec-2010,FEEDQ.PK^D14
365,Hawaiian Macadamia Nut Orchards LP,16-Mar-2011,31-Dec-2010,NNUTU.PK
366,Fresh Del Monte Produce Inc,01-Mar-2011,31-Dec-2010,FDP.N
367,Transglobal Assets Inc,08-Feb-2011,31-Dec-2010,TMSH.PK
368,Limoneira Co,26-Jan-2011,31-Oct-2010,LMNR.OQ
369,Canal Capital Corp,25-Jan-2011,31-Oct-2010,COWP.PK
370,Transglobal Assets Inc,27-Dec-2010,27-Dec-2010,TMSH.PK
371,Southern China Livestock Inc,23-Dec-2010,30-Sep-2010,—
372,Alico Inc,14-Dec-2010,30-Sep-2010,ALCO.OQ
373,China Modern Agricultural Information Inc,02-Dec-2010,31-Oct-2010,CMCI.PK^D21
374,Minn-Dak Farmers Cooperative,24-Nov-2010,31-Aug-2010,—
375,Guar Global Ltd,15-Nov-2010,31-Jul-2010,GGBL.PK
376,Urban Barns Foods Inc,15-Nov-2010,31-Jul-2010,URBF.PK
377,Umami Sustainable Seafood Inc,22-Oct-2010,30-Jun-2010,UMAM.PK
378,S&W Seed Co,28-Sep-2010,30-Jun-2010,SANW.OQ
379,Sen Yu International Holdings Inc,28-Sep-2010,30-Jun-2010,CSWG.PK^C17
380,Man Shing Agricultural Holdings Inc,28-Sep-2010,30-Jun-2010,MSAH.PK
381,Greenfield Farms Food Inc,09-Sep-2010,30-Jun-2010,GRAS.PK^H19
382,American Hemp Ventures Inc,26-Aug-2010,30-Apr-2010,AMHV.PK
383,Vetanova Inc,13-Aug-2010,30-Apr-2010,VTNA.PK
384,Yasheng Group,06-Aug-2010,31-Dec-2009,HERB.PK
385,Cal-Maine Foods Inc,02-Aug-2010,29-May-2010,CALM.OQ
386,Stevia Corp,14-Jul-2010,31-Mar-2010,STEV.PK
387,NaturalShrimp Inc,12-Jul-2010,31-Mar-2010,SHMP.PK
388,Farm Lands of Africa Inc,07-Jun-2010,31-Mar-2010,FLAF.PK
389,Yasheng Group,26-May-2010,31-Dec-2008,HERB.PK
390,Organic Alliance Inc,18-May-2010,31-Dec-2009,ORGC.PK^D19
391,China Organic Agriculture Inc,14-May-2010,31-Dec-2009,CNOA.PK^E13
392,North China Horticulture Inc,05-May-2010,31-Jan-2010,IDCX.PK^D14
393,Yasheng Group,05-May-2010,31-Dec-2007,HERB.PK
394,Tanke Biosciences Corp,28-Apr-2010,31-Dec-2009,TNBI.PK
395,Tanke Biosciences Corp,28-Apr-2010,31-Dec-2009,TNBI.PK
396,Umami Sustainable Seafood Inc,26-Apr-2010,28-Feb-2010,UMAM.PK
397,Yasheng Group,19-Apr-2010,31-Dec-2006,HERB.PK
398,Steele Resources Corp,15-Apr-2010,31-Dec-2009,—
399,China Fruits Corp,15-Apr-2010,31-Dec-2009,CHFR.PK^D19
400,China Du Kang Co Ltd,14-Apr-2010,31-Dec-2009,CDKG.PK^D19
401,CannaSys Inc,14-Apr-2010,31-Dec-2009,MJTK.PK^D21
402,Parabel Inc,31-Mar-2010,31-Dec-2009,PABL.PK^J17
403,Yuhe International Inc,31-Mar-2010,31-Dec-2009,YUII.PK
404,Yasheng Group,30-Mar-2010,31-Dec-2005,HERB.PK
405,Food Technology Service Inc,30-Mar-2010,31-Dec-2009,VIFL.OQ^C14
406,Nutrastar International Inc,25-Mar-2010,31-Dec-2009,NUIN.PK^K18
407,Organic Alliance Inc,18-Mar-2010,31-Dec-2008,ORGC.PK^D19
408,Vegalab Inc,17-Mar-2010,31-Dec-2009,VEGL.PK^F21
409,Westway Group Inc,16-Mar-2010,31-Dec-2009,SACQ.PK^F07
410,Hawaiian Macadamia Nut Orchards LP,16-Mar-2010,31-Dec-2009,NNUTU.PK
411,Yasheng Group,16-Mar-2010,31-Dec-2004,HERB.PK
412,HQ Sustainable Maritime Industries Inc,15-Mar-2010,31-Dec-2009,HQSM.PK^D12
413,AgFeed Industries Inc,08-Mar-2010,31-Dec-2009,FEEDQ.PK^D14
414,Fresh Del Monte Produce Inc,02-Mar-2010,01-Jan-2010,FDP.N
415,Chiquita Brands International Inc,26-Feb-2010,31-Dec-2009,CQB.N^A15
416,Andersons Inc,26-Feb-2010,31-Dec-2009,ANDE.OQ
417,Canal Capital Corp,27-Jan-2010,31-Oct-2009,COWP.PK
418,Alico Inc,14-Dec-2009,30-Sep-2009,ALCO.OQ
419,Minn-Dak Farmers Cooperative,24-Nov-2009,31-Aug-2009,—
420,Urban Barns Foods Inc,13-Nov-2009,31-Jul-2009,URBF.PK
421,Guar Global Ltd,12-Nov-2009,31-Jul-2009,GGBL.PK
422,CHS Inc,10-Nov-2009,31-Aug-2009,CHSCP.OQ
423,Southern China Livestock Inc,29-Oct-2009,30-Sep-2009,—
424,Sen Yu International Holdings Inc,13-Oct-2009,30-Jun-2009,CSWG.PK^C17
425,Vetanova Inc,14-Sep-2009,30-Apr-2009,VTNA.PK
426,Fuer International Inc,19-Aug-2009,30-Jun-2009,FRXT.PK^G13
427,Cal-Maine Foods Inc,11-Aug-2009,30-May-2009,CALM.OQ
428,American Hemp Ventures Inc,14-Jul-2009,30-Apr-2009,AMHV.PK
429,Stevia Corp,30-Jun-2009,31-Mar-2009,STEV.PK
430,Rongfu Aquaculture Inc,15-Jun-2009,31-Mar-2009,RNFU.PK^F19
431,Farm Lands of Africa Inc,04-Jun-2009,31-Mar-2009,FLAF.PK
432,Umami Sustainable Seafood Inc,29-May-2009,28-Feb-2009,UMAM.PK
433,North China Horticulture Inc,15-May-2009,31-Jan-2009,IDCX.PK^D14
434,Shandong Zhouyuan Seed and Nursery Co Ltd,06-May-2009,31-Dec-2008,SZSN.PK^G22
435,Man Shing Agricultural Holdings Inc,15-Apr-2009,31-Dec-2008,MSAH.PK
436,China Organic Agriculture Inc,15-Apr-2009,31-Dec-2008,CNOA.PK^E13
437,China Fruits Corp,14-Apr-2009,31-Dec-2008,CHFR.PK^D19
438,Nutrastar International Inc,31-Mar-2009,31-Dec-2008,NUIN.PK^K18
439,Parabel Inc,31-Mar-2009,31-Dec-2008,PABL.PK^J17
440,Yuhe International Inc,31-Mar-2009,31-Dec-2008,YUII.PK
441,Hawaiian Macadamia Nut Orchards LP,30-Mar-2009,31-Dec-2008,NNUTU.PK
442,CannaSys Inc,30-Mar-2009,31-Dec-2008,MJTK.PK^D21
443,Food Technology Service Inc,30-Mar-2009,31-Dec-2008,VIFL.OQ^C14
444,Tanke Biosciences Corp,25-Mar-2009,31-Dec-2008,TNBI.PK
445,Steele Resources Corp,25-Mar-2009,31-Dec-2008,—
446,AgFeed Industries Inc,16-Mar-2009,31-Dec-2008,FEEDQ.PK^D14
447,Westway Group Inc,13-Mar-2009,31-Dec-2008,SACQ.PK^F07
448,HQ Sustainable Maritime Industries Inc,12-Mar-2009,31-Dec-2008,HQSM.PK^D12
449,Vegalab Inc,04-Mar-2009,31-Dec-2008,VEGL.PK^F21
450,Chiquita Brands International Inc,27-Feb-2009,31-Dec-2008,CQB.N^A15
451,Andersons Inc,27-Feb-2009,31-Dec-2008,ANDE.OQ
452,Fresh Del Monte Produce Inc,24-Feb-2009,26-Dec-2008,FDP.N
453,Canal Capital Corp,28-Jan-2009,31-Oct-2008,COWP.PK
454,Alico Inc,15-Dec-2008,30-Sep-2008,ALCO.OQ
455,Minn-Dak Farmers Cooperative,26-Nov-2008,31-Aug-2008,—
456,CHS Inc,21-Nov-2008,31-Aug-2008,CHSCP.OQ
457,Nutrastar International Inc,21-Nov-2008,31-Jul-2008,NUIN.PK^K18
458,Urban Barns Foods Inc,22-Oct-2008,31-Jul-2008,URBF.PK
459,Southern China Livestock Inc,22-Oct-2008,30-Sep-2008,—
460,Pro-Fac Cooperative Inc,25-Sep-2008,28-Jun-2008,PFACP.OQ^C10
461,Cal-Maine Foods Inc,05-Aug-2008,31-May-2008,CALM.OQ
462,Parabel Inc,18-Jun-2008,31-Dec-2007,PABL.PK^J17
463,Parabel Inc,18-Jun-2008,31-Dec-2004,PABL.PK^J17
464,Parabel Inc,18-Jun-2008,31-Dec-1998,PABL.PK^J17
465,Parabel Inc,18-Jun-2008,31-Dec-1999,PABL.PK^J17
466,Parabel Inc,18-Jun-2008,31-Dec-2000,PABL.PK^J17
467,Parabel Inc,18-Jun-2008,31-Dec-2001,PABL.PK^J17
468,Parabel Inc,18-Jun-2008,31-Dec-2002,PABL.PK^J17
469,Parabel Inc,18-Jun-2008,31-Dec-2003,PABL.PK^J17
470,North China Horticulture Inc,15-May-2008,31-Jan-2008,IDCX.PK^D14
471,UAP Holding Corp,18-Apr-2008,24-Feb-2008,UAPH.OQ^E08
472,Westway Group Inc,31-Mar-2008,31-Dec-2007,SACQ.PK^F07
473,China Organic Agriculture Inc,31-Mar-2008,31-Dec-2007,CNOA.PK^E13
474,HQ Sustainable Maritime Industries Inc,31-Mar-2008,31-Dec-2007,HQSM.PK^D12
475,Hawaiian Macadamia Nut Orchards LP,26-Mar-2008,31-Dec-2007,NNUTU.PK
476,AgFeed Industries Inc,14-Mar-2008,31-Dec-2007,FEEDQ.PK^D14
477,Dole Food Company Inc,11-Mar-2008,29-Dec-2007,DOLE.N^K13
478,Chiquita Brands International Inc,29-Feb-2008,31-Dec-2007,CQB.N^A15
479,Andersons Inc,28-Feb-2008,31-Dec-2007,ANDE.OQ
480,Canal Capital Corp,30-Jan-2008,31-Oct-2007,COWP.PK
481,Alico Inc,14-Nov-2007,31-Aug-2007,ALCO.OQ
482,Pro-Fac Cooperative Inc,21-Sep-2007,30-Jun-2007,PFACP.OQ^C10
483,GUE Liquidation Group Inc,05-Sep-2007,30-Jun-2007,—
484,Cal-Maine Foods Inc,16-Aug-2007,02-Jun-2007,CALM.OQ
485,Hines Horticulture Inc,10-Jul-2007,31-Dec-2006,HORTQ.PK^D09
486,UAP Holding Corp,26-Apr-2007,25-Feb-2007,UAPH.OQ^E08
487,Hawaiian Macadamia Nut Orchards LP,16-Apr-2007,31-Dec-2006,NNUTU.PK
488,Millennium Sustainable Ventures Corp,30-Mar-2007,31-Dec-2006,MILC.PK
489,Dole Food Company Inc,23-Mar-2007,30-Dec-2006,DOLE.N^K13
490,Andersons Inc,12-Mar-2007,31-Dec-2006,ANDE.OQ
491,Chiquita Brands International Inc,08-Mar-2007,31-Dec-2006,CQB.N^A15
492,Canal Capital Corp,24-Jan-2007,31-Oct-2006,COWP.PK
493,Pilgrim's Pride Corporation of Georgia Inc,14-Dec-2006,30-Sep-2006,—
494,Minn-Dak Farmers Cooperative,28-Nov-2006,31-Aug-2006,—
495,Alico Inc,28-Nov-2006,14-Nov-2006,ALCO.OQ
496,CHS Inc,22-Nov-2006,31-Aug-2006,CHSCP.OQ
497,Pro-Fac Cooperative Inc,20-Sep-2006,24-Jun-2006,PFACP.OQ^C10
498,GUE Liquidation Group Inc,13-Sep-2006,30-Jun-2006,—
499,Dole Food Company Inc,17-Apr-2006,31-Dec-2005,DOLE.N^K13
500,American Seafoods Group LLC,11-Apr-2006,31-Dec-2005,—
501,ASG Consolidated LLC,11-Apr-2006,31-Dec-2005,—
502,Hines Horticulture Inc,28-Mar-2006,31-Dec-2005,HORTQ.PK^D09
503,Hawaiian Macadamia Nut Orchards LP,17-Mar-2006,31-Dec-2005,NNUTU.PK
504,Scotia Pacific Company LLC,15-Mar-2006,14-Mar-2006,—
505,Andersons Inc,14-Mar-2006,31-Dec-2005,ANDE.OQ
506,Chiquita Brands International Inc,01-Mar-2006,31-Dec-2005,CQB.N^A15
507,Canal Capital Corp,25-Jan-2006,31-Oct-2005,COWP.PK
508,Pilgrim's Pride Corporation of Georgia Inc,14-Dec-2005,01-Oct-2005,—
509,Minn-Dak Farmers Cooperative,29-Nov-2005,31-Aug-2005,—
510,Alico Inc,23-Nov-2005,17-Nov-2005,ALCO.OQ
511,CHS Inc,18-Nov-2005,31-Aug-2005,CHSCP.OQ
512,PAHC Holdings Corp,28-Sep-2005,30-Jun-2005,—
513,Pro-Fac Cooperative Inc,23-Sep-2005,25-Jun-2005,PFACP.OQ^C10
514,GUE Liquidation Group Inc,20-Sep-2005,30-Jun-2005,—
515,Cal-Maine Foods Inc,11-Aug-2005,28-May-2005,CALM.OQ
516,UAP Holding Corp,27-May-2005,27-Feb-2005,UAPH.OQ^E08
517,Dole Food Company Inc,01-Apr-2005,01-Jan-2005,DOLE.N^K13
518,American Seafoods Group LLC,31-Mar-2005,31-Dec-2004,—
519,Hawaiian Macadamia Nut Orchards LP,24-Mar-2005,31-Dec-2004,NNUTU.PK
520,Hines Horticulture Inc,23-Mar-2005,31-Dec-2004,HORTQ.PK^D09
521,Scotia Pacific Company LLC,16-Mar-2005,31-Dec-2004,—
522,Chiquita Brands International Inc,16-Mar-2005,31-Dec-2004,CQB.N^A15
523,Andersons Inc,14-Mar-2005,31-Dec-2004,ANDE.OQ
524,Unimark Group Inc,23-Feb-2005,31-Dec-2003,UNMG.PK^D19
525,Canal Capital Corp,28-Jan-2005,31-Oct-2004,COWP.PK
526,Seminis Inc,20-Dec-2004,30-Sep-2004,—
527,Northland Cranberries Inc,29-Nov-2004,31-Aug-2004,NRCNA.OB^K05
528,Minn-Dak Farmers Cooperative,26-Nov-2004,31-Aug-2004,—
529,CHS Inc,18-Nov-2004,31-Aug-2004,CHSCP.OQ
530,Alico Inc,15-Nov-2004,31-Aug-2004,ALCO.OQ
531,Pro-Fac Cooperative Inc,23-Sep-2004,26-Jun-2004,PFACP.OQ^C10
532,Cal-Maine Foods Inc,18-Aug-2004,29-May-2004,CALM.OQ
533,Standard Commercial Corp,14-Jun-2004,31-Mar-2004,STW.N^E05
534,Hines Horticulture Inc,30-Mar-2004,31-Dec-2003,HORTQ.PK^D09
535,American Seafoods Group LLC,30-Mar-2004,31-Dec-2003,—
536,China Fruits Corp,30-Mar-2004,31-Dec-2003,CHFR.PK^D19
537,Margo Caribe Inc,30-Mar-2004,31-Dec-2003,MRGO.PK
538,Scotia Pacific Company LLC,30-Mar-2004,31-Dec-2003,—
539,Margo Caribe Inc,30-Mar-2004,31-Dec-2003,MRGO.PK
540,Scotia Pacific Company LLC,30-Mar-2004,31-Dec-2003,—
541,Yasheng Group,26-Mar-2004,31-Dec-2003,HERB.PK
542,Dole Food Company Inc,17-Mar-2004,03-Jan-2004,DOLE.N^K13
543,Hawaiian Macadamia Nut Orchards LP,17-Mar-2004,31-Dec-2003,NNUTU.PK
544,Andersons Inc,11-Mar-2004,31-Dec-2003,ANDE.OQ
545,Chiquita Brands International Inc,11-Mar-2004,31-Dec-2003,CQB.N^A15
546,Canal Capital Corp,29-Jan-2004,31-Oct-2003,COWP.PK
547,Northland Cranberries Inc,28-Nov-2003,31-Aug-2003,NRCNA.OB^K05
548,Minn-Dak Farmers Cooperative,26-Nov-2003,31-Aug-2003,—
549,CHS Inc,21-Nov-2003,31-Aug-2003,CHSCP.OQ
550,Alico Inc,19-Nov-2003,31-Aug-2003,ALCO.OQ
551,Pro-Fac Cooperative Inc,26-Sep-2003,28-Jun-2003,PFACP.OQ^C10
552,Unimark Group Inc,12-Aug-2003,31-Dec-2002,UNMG.PK^D19
553,Cal-Maine Foods Inc,12-Aug-2003,31-May-2003,CALM.OQ
554,Standard Commercial Corp,26-Jun-2003,31-Mar-2003,STW.N^E05
555,China Continental Inc,16-May-2003,31-Dec-2002,CHCL.PK^K06
556,Bionova Holding Corp,30-Apr-2003,31-Dec-2002,BVAH.PK^C04
557,Margo Caribe Inc,31-Mar-2003,31-Dec-2002,MRGO.PK
558,Chiquita Brands International Inc,31-Mar-2003,31-Dec-2002,CQB.N^A15
559,Scotia Pacific Company LLC,31-Mar-2003,31-Dec-2002,—
560,Purina Mills LLC,27-Mar-2003,31-Dec-2002,—
561,Dole Food Company Inc,26-Mar-2003,28-Dec-2002,DOLE.N^K13
562,Hawaiian Macadamia Nut Orchards LP,26-Mar-2003,31-Dec-2002,NNUTU.PK
563,Andersons Inc,19-Mar-2003,31-Dec-2002,ANDE.OQ
564,Canal Capital Corp,29-Jan-2003,31-Oct-2002,COWP.PK
565,Seminis Inc,14-Jan-2003,30-Sep-2002,—
566,Northland Cranberries Inc,29-Nov-2002,31-Aug-2002,NRCNA.OB^K05
567,Minn-Dak Farmers Cooperative,26-Nov-2002,31-Aug-2002,—
568,CHS Inc,25-Nov-2002,31-Aug-2002,CHSCP.OQ
569,Alico Inc,15-Nov-2002,31-Aug-2002,ALCO.OQ
570,Pro-Fac Cooperative Inc,26-Sep-2002,29-Jun-2002,PFACP.OQ^C10
571,HQ Sustainable Maritime Industries Inc,16-Aug-2002,30-Apr-2002,HQSM.PK^D12
572,Cal-Maine Foods Inc,16-Aug-2002,01-Jun-2002,CALM.OQ
573,Standard Commercial Corp,27-Jun-2002,31-Mar-2002,STW.N^E05
574,Ecogen Inc,21-May-2002,31-Oct-2001,ECGN.PK^D04
575,China Continental Inc,20-May-2002,31-Dec-2001,CHCL.PK^K06
576,Bionova Holding Corp,12-Apr-2002,31-Dec-2001,BVAH.PK^C04
577,Hines Horticulture Inc,01-Apr-2002,31-Dec-2001,HORTQ.PK^D09
578,Scotia Pacific Company LLC,01-Apr-2002,31-Dec-2001,—
579,Hawaiian Macadamia Nut Orchards LP,28-Mar-2002,31-Dec-2001,NNUTU.PK
580,Margo Caribe Inc,28-Mar-2002,31-Dec-2001,MRGO.PK
581,Chiquita Brands International Inc,20-Mar-2002,31-Dec-2001,CQB.N^A15
582,Canal Capital Corp,25-Jan-2002,31-Oct-2001,COWP.PK
583,Seminis Inc,14-Jan-2002,30-Sep-2001,—
584,Alico Inc,30-Nov-2001,31-Aug-2001,ALCO.OQ
585,CHS Inc,19-Nov-2001,31-Aug-2001,CHSCP.OQ
586,Pro-Fac Cooperative Inc,10-Sep-2001,30-Jun-2001,PFACP.OQ^C10
587,HQ Sustainable Maritime Industries Inc,21-Aug-2001,30-Apr-2001,HQSM.PK^D12
588,Standard Commercial Corp,21-Jun-2001,31-Mar-2001,STW.N^E05
589,China Continental Inc,07-May-2001,31-Dec-2000,CHCL.PK^K06
590,China Continental Inc,16-Apr-2001,31-Dec-2000,CHCL.PK^K06
591,Margo Caribe Inc,02-Apr-2001,31-Dec-2000,MRGO.PK
592,Bionova Holding Corp,02-Apr-2001,31-Dec-2000,BVAH.PK^C04
593,Hines Horticulture Inc,30-Mar-2001,31-Dec-2000,HORTQ.PK^D09
594,Dole Food Company Inc,30-Mar-2001,30-Dec-2000,DOLE.N^K13
595,Hawaiian Macadamia Nut Orchards LP,30-Mar-2001,31-Dec-2000,NNUTU.PK
596,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
597,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
598,Ecogen Inc,21-Mar-2001,31-Oct-2000,ECGN.PK^D04
599,Canal Capital Corp,25-Jan-2001,31-Oct-2000,COWP.PK
600,Seminis Inc,29-Dec-2000,30-Sep-2000,—
601,Alico Inc,29-Nov-2000,31-Aug-2000,ALCO.OQ
602,Agribrands International Inc,28-Nov-2000,31-Aug-2000,AGX.N^D01
603,CHS Inc,22-Nov-2000,31-Aug-2000,CHSCP.OQ
604,Pro-Fac Cooperative Inc,15-Sep-2000,24-Jun-2000,PFACP.OQ^C10
605,Cal-Maine Foods Inc,21-Aug-2000,03-Jun-2000,CALM.OQ
606,HQ Sustainable Maritime Industries Inc,08-Aug-2000,30-Apr-2000,HQSM.PK^D12
607,Standard Commercial Corp,27-Jun-2000,31-Mar-2000,STW.N^E05
608,China Continental Inc,26-May-2000,31-Dec-1999,CHCL.PK^K06
609,Ecoscience Corp,04-Apr-2000,02-Jan-2000,ECSCE.O^G99
610,Margo Caribe Inc,30-Mar-2000,31-Dec-1999,MRGO.PK
611,China JXY Group Ltd,28-Mar-2000,31-Dec-1999,CJG.AX^D13
612,Chiquita Brands International Inc,28-Mar-2000,31-Dec-1999,CQB.N^A15
613,Bionova Holding Corp,23-Mar-2000,31-Dec-1999,BVAH.PK^C04
614,Scotia Pacific Company LLC,13-Mar-2000,31-Dec-1999,—
615,Ecogen Inc,15-Feb-2000,31-Oct-1999,ECGN.PK^D04
616,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
617,Ecogen Inc,21-Mar-2001,31-Oct-2000,ECGN.PK^D04
618,Canal Capital Corp,25-Jan-2001,31-Oct-2000,COWP.PK
619,Seminis Inc,29-Dec-2000,30-Sep-2000,—
620,Alico Inc,29-Nov-2000,31-Aug-2000,ALCO.OQ
621,Agribrands International Inc,28-Nov-2000,31-Aug-2000,AGX.N^D01
622,CHS Inc,22-Nov-2000,31-Aug-2000,CHSCP.OQ
623,Pro-Fac Cooperative Inc,15-Sep-2000,24-Jun-2000,PFACP.OQ^C10
624,Cal-Maine Foods Inc,21-Aug-2000,03-Jun-2000,CALM.OQ
625,HQ Sustainable Maritime Industries Inc,08-Aug-2000,30-Apr-2000,HQSM.PK^D12
626,Standard Commercial Corp,27-Jun-2000,31-Mar-2000,STW.N^E05
627,China Continental Inc,26-May-2000,31-Dec-1999,CHCL.PK^K06
628,Ecoscience Corp,04-Apr-2000,02-Jan-2000,ECSCE.O^G99
629,Margo Caribe Inc,30-Mar-2000,31-Dec-1999,MRGO.PK
630,China JXY Group Ltd,28-Mar-2000,31-Dec-1999,CJG.AX^D13
631,Chiquita Brands International Inc,28-Mar-2000,31-Dec-1999,CQB.N^A15
632,Bionova Holding Corp,23-Mar-2000,31-Dec-1999,BVAH.PK^C04
633,Scotia Pacific Company LLC,13-Mar-2000,31-Dec-1999,—
634,Ecogen Inc,15-Feb-2000,31-Oct-1999,ECGN.PK^D04
635,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
636,Ecogen Inc,21-Mar-2001,31-Oct-2000,ECGN.PK^D04
637,Canal Capital Corp,25-Jan-2001,31-Oct-2000,COWP.PK
638,Seminis Inc,29-Dec-2000,30-Sep-2000,—
639,Alico Inc,29-Nov-2000,31-Aug-2000,ALCO.OQ
640,Agribrands International Inc,28-Nov-2000,31-Aug-2000,AGX.N^D01
641,CHS Inc,22-Nov-2000,31-Aug-2000,CHSCP.OQ
642,Pro-Fac Cooperative Inc,15-Sep-2000,24-Jun-2000,PFACP.OQ^C10
643,Cal-Maine Foods Inc,21-Aug-2000,03-Jun-2000,CALM.OQ
644,HQ Sustainable Maritime Industries Inc,08-Aug-2000,30-Apr-2000,HQSM.PK^D12
645,Standard Commercial Corp,27-Jun-2000,31-Mar-2000,STW.N^E05
646,China Continental Inc,26-May-2000,31-Dec-1999,CHCL.PK^K06
647,Ecoscience Corp,04-Apr-2000,02-Jan-2000,ECSCE.O^G99
648,Margo Caribe Inc,30-Mar-2000,31-Dec-1999,MRGO.PK
649,China JXY Group Ltd,28-Mar-2000,31-Dec-1999,CJG.AX^D13
650,Chiquita Brands International Inc,28-Mar-2000,31-Dec-1999,CQB.N^A15
651,Bionova Holding Corp,23-Mar-2000,31-Dec-1999,BVAH.PK^C04
652,Scotia Pacific Company LLC,13-Mar-2000,31-Dec-1999,—
653,Ecogen Inc,15-Feb-2000,31-Oct-1999,ECGN.PK^D04
654,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
655,Ecogen Inc,21-Mar-2001,31-Oct-2000,ECGN.PK^D04
656,Canal Capital Corp,25-Jan-2001,31-Oct-2000,COWP.PK
657,Seminis Inc,29-Dec-2000,30-Sep-2000,—
658,Alico Inc,29-Nov-2000,31-Aug-2000,ALCO.OQ
659,Agribrands International Inc,28-Nov-2000,31-Aug-2000,AGX.N^D01
660,CHS Inc,22-Nov-2000,31-Aug-2000,CHSCP.OQ
661,Pro-Fac Cooperative Inc,15-Sep-2000,24-Jun-2000,PFACP.OQ^C10
662,Cal-Maine Foods Inc,21-Aug-2000,03-Jun-2000,CALM.OQ
663,HQ Sustainable Maritime Industries Inc,08-Aug-2000,30-Apr-2000,HQSM.PK^D12
664,Standard Commercial Corp,27-Jun-2000,31-Mar-2000,STW.N^E05
665,China Continental Inc,26-May-2000,31-Dec-1999,CHCL.PK^K06
666,Ecoscience Corp,04-Apr-2000,02-Jan-2000,ECSCE.O^G99
667,Margo Caribe Inc,30-Mar-2000,31-Dec-1999,MRGO.PK
668,China JXY Group Ltd,28-Mar-2000,31-Dec-1999,CJG.AX^D13
669,Chiquita Brands International Inc,28-Mar-2000,31-Dec-1999,CQB.N^A15
670,Bionova Holding Corp,23-Mar-2000,31-Dec-1999,BVAH.PK^C04
671,Scotia Pacific Company LLC,13-Mar-2000,31-Dec-1999,—
672,Ecogen Inc,15-Feb-2000,31-Oct-1999,ECGN.PK^D04
673,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
674,Ecogen Inc,21-Mar-2001,31-Oct-2000,ECGN.PK^D04
675,Canal Capital Corp,25-Jan-2001,31-Oct-2000,COWP.PK
676,Seminis Inc,29-Dec-2000,30-Sep-2000,—
677,Alico Inc,29-Nov-2000,31-Aug-2000,ALCO.OQ
678,Agribrands International Inc,28-Nov-2000,31-Aug-2000,AGX.N^D01
679,CHS Inc,22-Nov-2000,31-Aug-2000,CHSCP.OQ
680,Pro-Fac Cooperative Inc,15-Sep-2000,24-Jun-2000,PFACP.OQ^C10
681,Cal-Maine Foods Inc,21-Aug-2000,03-Jun-2000,CALM.OQ
682,HQ Sustainable Maritime Industries Inc,08-Aug-2000,30-Apr-2000,HQSM.PK^D12
683,Standard Commercial Corp,27-Jun-2000,31-Mar-2000,STW.N^E05
684,China Continental Inc,26-May-2000,31-Dec-1999,CHCL.PK^K06
685,Ecoscience Corp,04-Apr-2000,02-Jan-2000,ECSCE.O^G99
686,Margo Caribe Inc,30-Mar-2000,31-Dec-1999,MRGO.PK
687,China JXY Group Ltd,28-Mar-2000,31-Dec-1999,CJG.AX^D13
688,Chiquita Brands International Inc,28-Mar-2000,31-Dec-1999,CQB.N^A15
689,Bionova Holding Corp,23-Mar-2000,31-Dec-1999,BVAH.PK^C04
690,Scotia Pacific Company LLC,13-Mar-2000,31-Dec-1999,—
691,Ecogen Inc,15-Feb-2000,31-Oct-1999,ECGN.PK^D04
692,Scotia Pacific Company LLC,30-Mar-2001,31-Dec-2000,—
