,Code,Document_Date,Country,Industry,DCN
1111,DEWM.PK,2013-12-31,US,Carbonated Soft Drinks,151042618
1112,SUWN.PK,2015-04-30,US,Pharmaceuticals (NEC),151030198
1113,ALKM.PK,2014-12-31,US,Bottled Water & Ice,151013609
1114,CGSI.PK,2015-04-30,US,Agriculture Support Services,151012656
1115,SHMP.PK,2015-03-31,US,Aquaculture,151009914
1116,CALM.OQ,2015-05-30,US,Poultry Farming,15995089
1117,CAG.N,2015-05-31,US,Food Processing (NEC),15993115
1118,FIZZ.OQ,2015-05-02,US,Non-Alcoholic Beverages (NEC),15992057
1119,—,2015-03-31,US,Fishing & Farming (NEC),15988151
1120,WTER.OQ,2015-03-31,US,Bottled Water & Ice,15987484
1121,BRFH.OQ,2015-03-31,US,Non-Alcoholic Beverages (NEC),15976854
1122,GIS.N,2015-05-31,US,Food Processing (NEC),15973232
1123,NGEY.PK,2014-12-31,US,Fishing & Farming (NEC),15964421
1124,BRBL.PK,2015-03-31,US,Brewers (NEC),15959560
1125,SJM.N,2015-04-30,US,Food Processing (NEC),15952215
1126,FBEC.PK,2014-12-31,US,Energy Drinks,15946673
1127,BOBE.OQ^A18,2015-04-24,US,Food Processing (NEC),15942425
1128,BFb.N,2015-04-30,US,Distillers & Wineries (NEC),15938399
1129,—,2015-03-31,US,Wineries,15932530
1130,VIMB.PK^G16,2015-02-28,US,Non-Alcoholic Beverages (NEC),15931590
1131,SYUT.O^E17,2015-03-31,US,Dairy Products,15928846
1132,FFT.CD^G22,2015-02-28,CA,Commercial Nurseries,15921740
1133,SENEA.OQ,2015-03-31,US,Frozen Food Manufacturing,15921369
1134,PYYX.PK,2015-03-31,US,Tobacco (NEC),15918814
1135,GRAS.PK^H19,2014-12-31,US,Animal Breeding,15893660
1136,—,2015-02-28,US,Chocolate & Confectionery,15893207
1137,VPRB.PK,2014-12-31,US,Tobacco (NEC),15886613
1138,UVV.N,2015-03-31,US,Tobacco (NEC),15885741
1139,EGBB.PK,2014-12-31,US,Grain (Crop) Production,15872916
1140,—,2015-01-31,US,Fishing & Farming Wholesale,15825623
1141,JAMN.PK,2015-01-31,US,Coffee & Tea,15825280
1142,MMMB.OQ,2015-01-31,US,Meat Processing,15821792
1143,UOLI.PK,2014-12-31,US,Coffee & Tea,15818978
1144,STZ.N,2015-02-28,US,Brewers (NEC),15797980
1145,ROAG.PK,2014-12-31,US,Distillers & Wineries (NEC),15794499
1146,—,2014-12-31,US,Non-Alcoholic Beverages (NEC),15772697
1147,NBEVQ.PK,2014-12-31,US,Non-Alcoholic Beverages (NEC),15771972
1148,BDPT.PK,2014-12-31,US,Special Foods & Wellbeing Products,15771382
1149,PACV.PK,2014-12-31,US,Food Processing (NEC),15771258
1150,CLAD.PK,2014-12-31,US,"Vegetable, Fruit & Nut Farming",15770905
1151,PLAG.A,2014-12-31,US,Food Processing (NEC),15770847
1152,CHFR.PK^D19,2014-12-31,US,"Vegetable, Fruit & Nut Farming",15769624
1153,ICNVQ.PK^E19,2014-12-31,US,Tobacco (NEC),15769129
1154,SLVH.PK^G20,2014-12-31,US,Food Processing (NEC),15769073
1155,GRLD.PK^J19,2014-12-31,US,Commercial Nurseries,15768923
1156,KRED.PK,2014-12-31,US,Non-Alcoholic Beverages (NEC),15766019
1157,AWAW.PK,2014-12-31,US,Cigars & Cigarette Manufacturing,15759898
1158,ZIVO.OQ,2014-12-31,US,Special Foods & Wellbeing Products,15753451
1159,CHUC.PK,2014-12-31,US,Tobacco (NEC),15747365
1160,ECIGQ.PK^H20,2014-12-31,US,Cigars & Cigarette Manufacturing,15741432
1161,SWSH.PK^E16,2014-12-31,US,Frozen Food Manufacturing,15741146
1162,RIBT.OQ,2014-12-31,US,Food Processing (NEC),15740346
1163,FRPT.OQ,2014-12-31,US,Pet Food Manufacturing,15740173
1164,GLLA.PK^F21,2014-12-31,US,Cigars & Cigarette Manufacturing,15739992
1165,MENB.PK,2014-12-31,US,Brewers (NEC),15739598
1166,SIAF.PK,2014-12-31,US,Fishing & Farming (NEC),15739399
1167,IVFH.PK,2014-12-31,US,Food Processing (NEC),15739199
1168,FTLF.PK,2014-12-31,US,Special Foods & Wellbeing Products,15739141
1169,BTFL.PK^K20,2014-12-31,US,Fishing & Farming (NEC),15739030
1170,TLCC.PK,2014-12-31,US,Special Foods & Wellbeing Products,15738802
1171,SDI.A^G20,2014-12-31,US,Cigars & Cigarette Manufacturing,15738680
1172,HBISD.PK,2014-12-31,US,Food Processing (NEC),15738508
1173,LIFD.PK,2014-12-31,US,Tobacco (NEC),15738447
1174,NNUTU.PK^I22,2014-12-31,US,"Vegetable, Fruit & Nut Farming",15738273
1175,SNYR.PK,2014-12-31,US,Special Foods & Wellbeing Products,15738211
1176,LUCC.PK^I22,2014-12-31,US,Food Processing (NEC),15737933
1177,VEGL.PK^F21,2014-12-31,US,Agriculture Support Services,15737938
1178,GGROU.PK,2014-12-31,US,Food Processing (NEC),15737817
1179,PARF.PK^L21,2014-12-31,US,Snack Food & Non-Chocolate Confectionary,15737670
1180,SAYC.PK^I22,2014-12-31,US,Diversified Industrial Goods Wholesale,15737041
1181,—,2014-12-31,US,Special Foods & Wellbeing Products,15736574
1182,OPCO.PK^C19,2014-12-31,US,Pet Food Manufacturing,15736396
1183,PLSB.PK^E21,2014-12-31,US,Non-Alcoholic Beverages (NEC),15736204
1184,SOWG.PK,2014-12-31,US,Food Processing (NEC),15735080
1185,NUIN.PK^K18,2014-12-31,US,Fishing & Farming (NEC),15734607
1186,GLUC.PK,2014-12-31,US,Special Foods & Wellbeing Products,15734494
1187,MJNE.PK,2014-12-31,US,Agriculture Support Services,15733725
1188,HERB.PK,2014-12-31,US,Fishing & Farming (NEC),15733299
1189,AQPW.PK,2014-12-31,US,Bottled Water & Ice,15732815
1190,BRWC.PK^L16,2014-12-31,US,Bottled Water & Ice,15732587
1191,TOFB.PK,2014-12-27,US,Frozen Food Manufacturing,15731628
1192,—,2014-12-31,US,Special Foods & Wellbeing Products,15730040
1193,REED.OQ,2014-12-31,US,Carbonated Soft Drinks,15727798
1194,WVVI.OQ,2014-12-31,US,Wineries,15727721
1195,JSDA.PK,2014-12-31,US,Non-Alcoholic Beverages (NEC),15725251
1196,SDSYA.PK,2014-12-31,US,Food Processing (NEC),15724024
1197,LOLI.PK^K19,2014-12-31,US,Special Foods & Wellbeing Products,15723484
1198,SFD.N^I13,2014-12-28,US,Meat Processing,15723445
1199,RELV.PK,2014-12-31,US,Special Foods & Wellbeing Products,15720833
1200,FVRG.PK^G21,2014-12-31,US,Food Processing (NEC),15720248
1201,CQB.N^A15,2014-12-31,US,Fishing & Farming (NEC),15710657
1202,BIQIF.PK,2014-12-31,VG,Hog & Pig Farming,15710552
1203,MED.N,2014-12-31,US,Special Foods & Wellbeing Products,15703001
1204,CWGL.PK,2014-12-31,US,Wineries,15702106
1205,GLPH.PK^I21,2014-11-30,US,Agricultural Biotechnology,15700401
1206,COKE.OQ,2014-12-28,US,Non-Alcoholic Beverages (NEC),15699389
1207,—,2014-12-28,US,Fruit & Vegetable Processing,15698713
1208,NATR.OQ,2014-12-31,US,Special Foods & Wellbeing Products,15697239
1209,USBFU.PK,2014-12-27,US,Meat Processing,15695012
1210,MGPI.OQ,2014-12-31,US,Distillers & Wineries (NEC),15694422
1211,OME.N^L17,2014-12-31,US,Commercial Fishing,15692621
1212,MTEX.OQ,2014-12-31,US,Special Foods & Wellbeing Products,15689204
1213,PME.OQ,2014-12-31,KY,Commercial Fishing,15689183
1214,SNAK.OQ^L17,2014-12-27,US,Food Processing (NEC),15688779
1215,TVIAQ.PK^A18,2014-12-31,US,Food Processing (NEC),15681408
1216,BTFL.PK^K20,2014-11-30,US,Fishing & Farming (NEC),15674288
1217,DAR.N,2015-01-03,US,Food Processing (NEC),15674203
1218,—,2014-12-31,US,Non-Alcoholic Beverages (NEC),15673610
1219,BGS.N,2015-01-03,US,Food Processing (NEC),15673508
1220,BREW.OQ^J20,2014-12-31,US,Craft & Micro Brewers,15673343
1221,SOY.TO,2015-01-03,CA,Vegan & Vegetarian Food Manufacturing,15671030
1222,IFF.N,2014-12-31,US,Food Ingredients,15666136
1223,ANDE.OQ,2014-12-31,US,Fishing & Farming Wholesale,15665538
1224,MNST.OQ,2014-12-31,US,Energy Drinks,15663832
1225,BG.N,2014-12-31,BM,Food Processing (NEC),15662137
1226,WWAV.K^D17,2014-12-31,US,Food Processing (NEC),15661011
1227,MOJO.PK,2014-12-31,US,Non-Alcoholic Beverages (NEC),15657452
1228,MJN^F17,2014-12-31,US,Baby Food,15654971
1229,TR.N,2014-12-31,US,Chocolate & Confectionery,15654899
1230,HLF.N,2014-12-31,KY,Special Foods & Wellbeing Products,15652847
1231,SEB.A,2014-12-31,US,Food Processing (NEC),15652674
1232,SOUPQ.PK^E21,2014-08-31,US,Food Processing (NEC),15648267
1233,MO.N,2014-12-31,US,Cigars & Cigarette Manufacturing,15647013
1234,FLO.N,2015-01-03,US,Bread & Bakery Product Manufacturing,15646639
1235,SAM.N,2014-12-27,US,Brewers (NEC),15644026
1236,PF.N^J18,2014-12-28,US,Fruit & Vegetable Processing,15642834
1237,ADM.N,2014-12-31,US,Food Processing (NEC),15635967
1238,HSY.N,2014-12-31,US,Food Processing (NEC),15634268
1239,MDLZ.OQ,2014-12-31,US,Food Processing (NEC),15634243
1240,PM.N,2014-12-31,US,Tobacco (NEC),15633804
1241,THS.N,2014-12-31,US,Food Processing (NEC),15631748
1242,IPHS.OQ^B20,2014-12-31,US,Food Ingredients,15630885
1243,KRFT.OQ^G15,2014-12-27,US,Food Processing (NEC),15630824
1244,FDP.N,2014-12-26,KY,Fishing & Farming (NEC),15627782
1245,DFODQ.PK^F21,2014-12-31,US,Food Processing (NEC),15622505
1246,ATTD.PK^H17,2014-03-31,US,Non-Alcoholic Beverages (NEC),15615362
1247,—,2014-12-31,US,Carbonated Soft Drinks,15607669
1248,PEP.OQ,2014-12-27,US,Carbonated Soft Drinks,15607239
1249,NUZE.OQ,2014-09-30,US,Coffee & Tea,15604865
1250,TAP.N,2014-12-31,US,Brewers (NEC),15604601
1251,PPC.OQ,2014-12-28,US,Meat Processing,15601892
1252,LO.N^F15,2014-12-31,US,Cigars & Cigarette Manufacturing,15600992
1253,RAI.N^G17,2014-12-31,US,Tobacco (NEC),15590723
1254,CVGW.OQ,2014-10-31,US,Fruit & Vegetable Processing,15564112
1255,MKC.N,2014-11-30,US,Food Processing (NEC),15558780
1256,OMGB.PK^J18,2014-10-31,US,Non-Alcoholic Beverages (NEC),15558112
1257,CRVP.A^C18,2014-10-31,US,Bottled Water & Ice,15551789
1258,JVA.OQ,2014-10-31,US,Coffee & Tea,15543635
1259,TBEV.PK,2014-07-31,US,Non-Alcoholic Beverages (NEC),15542956
1260,DKAM.PK,2013-04-30,US,Wineries,15534268
1261,BRID.OQ,2014-10-31,US,Food Processing (NEC),15532796
1262,LMNR.OQ,2014-10-31,US,Agriculture Support Services,15522025
1263,VAPE.PK^H21,2014-09-30,US,IT Services & Consulting (NEC),141313550
1264,SAFM.OQ^G22,2014-10-31,US,Meat Processing,141294213
1265,HRL.N,2014-10-26,US,Meat Processing,141291709
1266,AJAC.PK^I17,2014-08-31,US,Organic Farming,141291201
1267,—,2014-08-31,US,Non-Alcoholic Beverages (NEC),141285407
1268,ALCO.OQ,2014-09-30,US,"Vegetable, Fruit & Nut Farming",141284336
1269,CENT.OQ,2014-09-27,US,Pet Food Manufacturing,141281210
1270,—,2014-08-31,US,Special Foods & Wellbeing Products,141266841
1271,POST.N,2014-09-30,US,Breakfast Cereal Manufacturing,141254813
1272,JJSF.OQ,2014-09-27,US,Snack Food & Non-Chocolate Confectionary,141249311
1273,NTY.N^J10,2014-09-30,US,Special Foods & Wellbeing Products,141246946
1274,UOLI.PK,2013-12-31,US,Coffee & Tea,141246424
1275,UOLI.PK,2012-12-31,US,Coffee & Tea,141242895
1276,CERE.O^H16,2014-08-31,US,Fishing & Farming (NEC),141239704
1277,NUTR.O^H17,2014-09-30,US,Special Foods & Wellbeing Products,141238827
1278,SMKY.PK^G15,2013-12-31,US,Meat Processing,141232708
1279,PENX.OQ^C15,2014-08-31,US,Flour Milling,141218944
1280,CHSCP.OQ,2014-08-31,US,Fishing & Farming (NEC),141197221
1281,URBF.PK,2014-07-31,US,"Vegetable, Fruit & Nut Farming",141181357
1282,CSNG.PK^G19,2014-06-30,US,Fruit & Vegetable Processing,141158166
1283,CMCI.PK^D21,2014-06-30,US,Cattle Farming,141155949
1284,BYIN.PK^I22,2014-06-30,US,"Vegetable, Fruit & Nut Farming",141155768
1285,DMND.OQ^C16,2014-07-31,US,Snack Food & Non-Chocolate Confectionary,141140886
1286,NGTF.PK,2014-06-30,US,Frozen Food Manufacturing,141127631
1287,THST.PK,2014-06-30,US,Wineries,141127332
1288,SANW.OQ,2014-06-30,US,Grain (Crop) Production,141127059
1289,CGRT.PK^F19,2014-06-30,US,Agriculture Support Services,141124724
1290,CPB.N,2014-08-03,US,Food Processing (NEC),141117241
1293,AAGH.PK,2014-06-30,US,Special Foods & Wellbeing Products,141110619
1294,CSGN.PK^H09,2014-06-30,US,Food Processing (NEC),141109481
1295,FARM.OQ,2014-06-30,US,Coffee & Tea,141104065
1296,SLNR.PK^H17,2014-05-31,US,Food Processing (NEC),141103921
1297,—,2014-06-30,US,Special Foods & Wellbeing Products,141095944
1298,LANC.OQ,2014-06-30,US,Food Ingredients,141070805
1299,JBSS.OQ,2014-06-26,US,Chocolate & Confectionery,141068480
1300,HAIN.OQ,2014-06-30,US,Food Ingredients,141066169
1301,AIXN.PK,2014-05-31,US,Health Food Stores,141062293
1302,HSH.N^H14,2014-06-28,US,Food Processing (NEC),141058761
1303,GLDC.O^J16,2014-05-30,US,Food Processing (NEC),141057630
1304,SWEE.PK^I22,2014-06-30,US,Sugar & Artificial Sweeteners,141053153
1305,RBCC.PK^A21,2014-03-31,US,Aquaculture,141007809
1306,CDKG.PK^D19,2013-12-31,US,Fishing & Farming (NEC),141000714
1307,SUWN.PK,2014-04-30,US,Pharmaceuticals (NEC),141000682
1308,CGSI.PK,2014-04-30,US,Agriculture Support Services,14999963
1309,FIZZ.OQ,2014-05-03,US,Non-Alcoholic Beverages (NEC),14981113
1310,CAG.N,2014-05-25,US,Food Processing (NEC),14977983
1311,BRBL.PK,2014-03-31,US,Brewers (NEC),14976500
1312,STEV.PK,2014-03-31,US,Agriculture Support Services,14976337
1313,SHMP.PK,2014-03-31,US,Aquaculture,14973029
1314,BOBE.OQ^A18,2014-04-25,US,Food Processing (NEC),14967800
1315,DLMCF.PK^H09,2014-04-27,US,Pet Food Manufacturing,14961391
1316,GIS.N,2014-05-25,US,Food Processing (NEC),14960425
1317,BRFH.OQ,2014-03-31,US,Non-Alcoholic Beverages (NEC),14950099
1318,WTER.OQ,2014-03-31,US,Bottled Water & Ice,14949026
1319,TQLA.PK^D19,2014-03-31,US,Distillers & Wineries (NEC),14948948
1320,—,2014-03-31,US,Wineries,14946947
1321,ELDOD.PK^J16,2014-03-31,US,Non-Alcoholic Beverages (NEC),14946162
1322,BRWC.PK^L16,2013-12-31,US,Bottled Water & Ice,14943264
1323,GLUC.PK,2013-12-31,US,Special Foods & Wellbeing Products,14940077
1324,SJM.N,2014-04-30,US,Food Processing (NEC),14935406
1325,BFb.N,2014-04-30,US,Distillers & Wineries (NEC),14931315
1326,SYUT.O^E17,2014-03-31,US,Dairy Products,14923073
1327,GRAS.PK^H19,2013-12-31,US,Animal Breeding,14922347
1328,FFT.CD^G22,2014-02-28,CA,Commercial Nurseries,14910327
1329,VIMB.PK^G16,2014-02-28,US,Non-Alcoholic Beverages (NEC),14909967
1330,—,2014-02-28,US,Chocolate & Confectionery,14904334
1331,PYYX.PK,2014-03-31,US,Tobacco (NEC),14894066
1332,BNNY.N^J14,2014-03-31,US,Food Processing (NEC),14882062
1333,PBGC.PK^G14,2013-12-31,US,Non-Alcoholic Beverages (NEC),14873448
1334,CIRX.PK,2013-12-31,US,Non-Alcoholic Beverages (NEC),14870587
1335,UVV.N,2014-03-31,US,Tobacco (NEC),14866408
1336,SENEA.OQ,2014-03-31,US,Frozen Food Manufacturing,14864175
1337,JAMN.PK,2014-01-31,US,Coffee & Tea,14852094
1338,NGEY.PK,2013-12-31,US,Fishing & Farming (NEC),14851031
1339,VPRB.PK,2013-12-31,US,Tobacco (NEC),14821640
1340,STZ.N,2014-02-28,US,Brewers (NEC),14792060
1341,HJOE.PK^K16,2013-12-31,US,Non-Alcoholic Beverages (NEC),14772753
1342,GLPH.PK^I21,2013-11-30,US,Agricultural Biotechnology,14771291
1343,ALKM.PK,2013-12-31,US,Bottled Water & Ice,14770833
1344,—,2013-12-31,US,Non-Alcoholic Beverages (NEC),14767860
1345,MOJO.PK,2013-12-31,US,Non-Alcoholic Beverages (NEC),14767852
1346,DRNK.PK,2013-12-31,US,Non-Alcoholic Beverages (NEC),14765923
1347,DNAX.PK,2013-12-31,US,Investment Management & Fund Operators (NEC),14765910
1348,HRDN.PK^D16,2013-12-31,US,Special Foods & Wellbeing Products,14765889
1349,SBEV.A,2013-12-31,US,Distillers & Wineries (NEC),14765767
1350,AMNC.PK,2013-12-31,US,"Cookie, Cracker & Pasta Manufacturing",14765688
1351,—,2013-12-31,US,Brewers (NEC),14765680
1352,—,2013-12-31,US,Fishing & Farming Wholesale,14764563
1353,GRLD.PK^J19,2013-12-31,US,Commercial Nurseries,14764216
1354,—,2013-12-31,US,Non-Alcoholic Beverages (NEC),14764119
1355,CLAD.PK,2013-12-31,US,"Vegetable, Fruit & Nut Farming",14763795
1356,BDPT.PK,2013-12-31,US,Special Foods & Wellbeing Products,14761869
1357,EAST.OQ,2013-12-31,US,Distilleries,14761076
1358,HBISD.PK,2013-12-31,US,Food Processing (NEC),14760606
1359,SIAF.PK,2013-12-31,US,Fishing & Farming (NEC),14760029
1360,WDKA.PK^J22,2013-12-31,US,Distillers & Wineries (NEC),14756084
1361,HOTF.PK^J22,2013-12-31,US,Food Processing (NEC),14751852
1362,GLLA.PK^F21,2013-12-31,US,Cigars & Cigarette Manufacturing,14751054
1363,LUCC.PK^I22,2013-12-31,US,Food Processing (NEC),14745511
1364,SAYC.PK^I22,2013-12-31,US,Diversified Industrial Goods Wholesale,14744963
1365,LWAY.OQ,2013-12-31,US,Dairy Products,14738886
1366,LIFD.PK,2013-12-31,US,Tobacco (NEC),14735275
1367,ECIGQ.PK^H20,2013-12-31,US,Cigars & Cigarette Manufacturing,14731489
1368,AGAC.PK^J14,2013-12-31,US,Food Processing (NEC),14731218
1369,CHFR.PK^D19,2013-12-31,US,"Vegetable, Fruit & Nut Farming",14731146
1370,CHUC.PK,2013-12-31,US,Tobacco (NEC),14731100
1371,MENB.PK,2013-12-31,US,Brewers (NEC),14730291
1372,PLSB.PK^E21,2013-12-31,US,Non-Alcoholic Beverages (NEC),14730240
1373,AHII.PK,2013-12-31,US,Cigars & Cigarette Manufacturing,14730193
1374,SLVH.PK^G20,2013-12-31,US,Food Processing (NEC),14730151
1375,IVFH.PK,2013-12-31,US,Food Processing (NEC),14730025
1376,RIBT.OQ,2013-12-31,US,Food Processing (NEC),14729608
1377,HERB.PK,2013-12-31,US,Fishing & Farming (NEC),14729596
1378,PLAG.A,2013-12-31,US,Food Processing (NEC),14729162
1379,GGROU.PK,2013-12-31,US,Food Processing (NEC),14728839
1380,VEGL.PK^F21,2013-12-31,US,Agriculture Support Services,14728644
1381,ZIVO.OQ,2013-12-31,US,Special Foods & Wellbeing Products,14728380
1382,SDI.A^G20,2013-12-31,US,Cigars & Cigarette Manufacturing,14728173
1383,MJNE.PK,2013-12-31,US,Agriculture Support Services,14727806
1384,OPCO.PK^C19,2013-12-31,US,Pet Food Manufacturing,14727755
1385,JSDA.PK,2013-12-31,US,Non-Alcoholic Beverages (NEC),14727047
1386,FTLF.PK,2013-12-31,US,Special Foods & Wellbeing Products,14726875
1387,—,2013-12-31,US,Special Foods & Wellbeing Products,14725603
1388,TOFB.PK,2013-12-28,US,Frozen Food Manufacturing,14725304
1389,NNUTU.PK^I22,2013-12-31,US,"Vegetable, Fruit & Nut Farming",14724497
1390,AQPW.PK,2013-12-31,US,Bottled Water & Ice,14723645
1391,FVRG.PK^G21,2013-12-31,US,Food Processing (NEC),14723452
1392,—,2013-12-31,US,Special Foods & Wellbeing Products,14722622
1393,VAPO.PK^C15,2013-12-31,US,Cigars & Cigarette Manufacturing,14721931
1394,WVVI.OQ,2013-12-31,US,Wineries,14721640
1395,PARF.PK^L21,2013-12-31,US,Snack Food & Non-Chocolate Confectionary,14720973
1396,SOWG.PK,2013-12-31,US,Food Processing (NEC),14720241
1397,NUIN.PK^K18,2013-12-31,US,Fishing & Farming (NEC),14718757
1398,AWAW.PK,2013-12-31,US,Cigars & Cigarette Manufacturing,14718483
1399,REED.OQ,2013-12-31,US,Carbonated Soft Drinks,14716151
1400,RELV.PK,2013-12-31,US,Special Foods & Wellbeing Products,14714957
1401,EWLU.PK,2013-12-31,US,Special Foods & Wellbeing Products,14709984
1402,SDSYA.PK,2013-12-31,US,Food Processing (NEC),14709464
1403,—,2013-12-28,US,Food Processing (NEC),14708508
1404,NTRU.PK,2013-12-31,US,Food Processing (NEC),14706901
1405,MMMB.OQ,2013-12-31,US,Meat Processing,14705888
1406,KRED.PK,2013-12-31,US,Non-Alcoholic Beverages (NEC),14700517
1407,SWSH.PK^E16,2013-12-31,US,Frozen Food Manufacturing,14698495
1408,NATR.OQ,2013-12-31,US,Special Foods & Wellbeing Products,14698141
1409,MED.N,2013-12-31,US,Special Foods & Wellbeing Products,14697659
1410,BTFL.PK^K20,2013-11-30,US,Fishing & Farming (NEC),14697248
1411,ANPFF.PK^I22,2013-12-31,VG,Meat Processing,14695406
1412,COKE.OQ,2013-12-29,US,Non-Alcoholic Beverages (NEC),14694720
1413,CWGL.PK,2013-12-31,US,Wineries,14693883
1414,TVIAQ.PK^A18,2013-12-31,US,Food Processing (NEC),14692602
1415,USNA.N,2013-12-28,US,Special Foods & Wellbeing Products,14691739
1416,PBGC.PK^G14,2012-12-31,US,Non-Alcoholic Beverages (NEC),14691541
1417,USBFU.PK,2013-12-28,US,Meat Processing,14691499
1418,BIQIF.PK,2013-12-31,VG,Hog & Pig Farming,14690991
1419,SNAK.OQ^L17,2013-12-28,US,Food Processing (NEC),14690653
1420,MGPI.OQ,2013-12-31,US,Distillers & Wineries (NEC),14688849
1421,PME.OQ,2013-12-31,KY,Commercial Fishing,14680979
1422,OME.N^L17,2013-12-31,US,Commercial Fishing,14679093
1423,SOY.TO,2013-12-28,CA,Vegan & Vegetarian Food Manufacturing,14674216
1424,CQB.N^A15,2013-12-31,US,Fishing & Farming (NEC),14665423
1425,VGR.N,2013-12-31,US,Tobacco (NEC),14661492
1426,MNST.OQ,2013-12-31,US,Energy Drinks,14659959
1427,MDLZ.OQ,2013-12-31,US,Food Processing (NEC),14658422
1428,BG.N,2013-12-31,BM,Food Processing (NEC),14656735
1429,WWAV.K^D17,2013-12-31,US,Food Processing (NEC),14656431
1430,MJTK.PK^D21,2013-12-31,US,Business Support Services (NEC),14655454
1431,ANDE.OQ,2013-12-31,US,Fishing & Farming Wholesale,14653339
1432,TR.N,2013-12-31,US,Chocolate & Confectionery,14651310
1433,IPHS.OQ^B20,2013-12-31,US,Food Ingredients,14650168
1434,KO.N,2013-12-31,US,Non-Alcoholic Beverages (NEC),14647845
1435,DAR.N,2013-12-28,US,Food Processing (NEC),14645296
1436,SEB.A,2013-12-31,US,Food Processing (NEC),14644736
1437,ADM.N,2013-12-31,US,Food Processing (NEC),14644658
1438,BGS.N,2013-12-28,US,Food Processing (NEC),14644476
1439,MO.N,2013-12-31,US,Cigars & Cigarette Manufacturing,14643424
1440,IFF.N,2013-12-31,US,Food Ingredients,14641387
1441,SAM.N,2013-12-28,US,Brewers (NEC),14641295
1442,K.N,2013-12-28,US,Food Processing (NEC),14637280
1443,INGR.N,2013-12-31,US,Food Processing (NEC),14636912
1444,—,2013-12-28,CA,Non-Alcoholic Beverages (NEC),14636307
1445,FDP.N,2013-12-27,KY,Fishing & Farming (NEC),14634814
1446,LO.N^F15,2013-12-31,US,Cigars & Cigarette Manufacturing,14633681
1447,KRFT.OQ^G15,2013-12-28,US,Food Processing (NEC),14632926
1448,HSY.N,2013-12-31,US,Food Processing (NEC),14631810
1449,PM.N,2013-12-31,US,Tobacco (NEC),14631736
1450,PPC.OQ,2013-12-29,US,Meat Processing,14631675
1451,THS.N,2013-12-31,US,Food Processing (NEC),14629596
1452,KDP.OQ,2013-12-31,US,Non-Alcoholic Beverages (NEC),14627445
1453,PNRA.OQ^G17,2013-12-31,US,Bread & Bakery Product Manufacturing,14627305
1454,FLO.N,2013-12-28,US,Bread & Bakery Product Manufacturing,14625353
1455,LOLI.PK^K19,2013-12-31,US,Special Foods & Wellbeing Products,14624367
1456,BEAM.N^E14,2013-12-31,US,Distilleries,14622975
1457,MJN^F17,2013-12-31,US,Baby Food,14622656
1458,HLF.N,2013-12-31,KY,Special Foods & Wellbeing Products,14622490
1459,PEP.OQ,2013-12-28,US,Carbonated Soft Drinks,14617136
1460,TAP.N,2013-12-31,US,Brewers (NEC),14615131
1461,RAI.N^G17,2013-12-31,US,Tobacco (NEC),14591708
1462,—,2013-12-31,US,Carbonated Soft Drinks,14581813
1463,XXII.OQ,2013-12-31,US,Tobacco (NEC),14560390
1464,—,2013-10-31,US,Non-Alcoholic Beverages (NEC),14556761
1465,MKC.N,2013-11-30,US,Food Processing (NEC),14555973
1466,CRVP.A^C18,2013-10-31,US,Bottled Water & Ice,14552954
1467,JVA.OQ,2013-10-31,US,Coffee & Tea,14546537
1468,OMGB.PK^J18,2013-10-31,US,Non-Alcoholic Beverages (NEC),14541383
1469,BRID.OQ,2013-11-01,US,Food Processing (NEC),14535223
1470,NUZE.OQ,2013-09-30,US,Coffee & Tea,14528142
1471,LMNR.OQ,2013-10-31,US,Agriculture Support Services,14527585
1472,CVGW.OQ,2013-10-31,US,Fruit & Vegetable Processing,14525013
1473,BILB.PK^A17,2013-08-31,US,Meat Processing,14522741
1474,TBEV.PK,2013-07-31,US,Non-Alcoholic Beverages (NEC),131305336
1475,HRL.N,2013-10-27,US,Meat Processing,131284051
1476,SAFM.OQ^G22,2013-10-31,US,Meat Processing,131280420
1477,PRBI.PK^I17,2013-08-31,US,Food Ingredients,131279796
1478,—,2013-08-31,US,Non-Alcoholic Beverages (NEC),131278531
1479,AJAC.PK^I17,2013-08-31,US,Organic Farming,131277003
1480,CENT.OQ,2013-09-28,US,Pet Food Manufacturing,131272211
1481,ALCO.OQ,2013-09-30,US,"Vegetable, Fruit & Nut Farming",131266190
1484,POST.N,2013-09-30,US,Breakfast Cereal Manufacturing,131247842
1485,NUTR.O^H17,2013-09-30,US,Special Foods & Wellbeing Products,131244779
1486,JJSF.OQ,2013-09-28,US,Snack Food & Non-Chocolate Confectionary,131244605
1487,CERE.O^H16,2013-08-31,US,Fishing & Farming (NEC),131244357
1488,NTY.N^J10,2013-09-30,US,Special Foods & Wellbeing Products,131242295
1489,GMCR.OQ^C16,2013-09-28,US,Coffee & Tea,131233102
1490,TSN.N,2013-09-28,US,Meat Processing,131225497
1491,PENX.OQ^C15,2013-08-31,US,Flour Milling,131218725
1492,SOUPQ.PK^E21,2013-08-31,US,Food Processing (NEC),131216553
1493,URBF.PK,2013-07-31,US,"Vegetable, Fruit & Nut Farming",131214108
1494,GGBL.PK,2013-07-31,US,Grain (Crop) Production,131193665
1495,SNYR.PK,2013-07-31,US,Special Foods & Wellbeing Products,131173012
1496,CSNG.PK^G19,2013-06-30,US,Fruit & Vegetable Processing,131152672
